"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_Ability_garden_purple_lotus_base"		"Purple Lotus"
		"DOTA_Tooltip_Ability_garden_purple_lotus_base_Description"	"Plants a purple lotus which increases magic resistance for nearby allies. Maximum of 2 flowers. "
		"DOTA_Tooltip_Ability_garden_purple_lotus_base_Radius"		"AURA RADIUS:"
		"DOTA_Tooltip_Ability_garden_purple_lotus_base_resistance"	"%MAGIC RESISTANCE:"
		"DOTA_Tooltip_Ability_garden_purple_lotus_base_Flower_health"		"FLOWER HEALTH:"
		
		"DOTA_Tooltip_Ability_destroy_flower"		"Destroy Flower"
		"DOTA_Tooltip_Ability_destroy_flower_Description"		"Destroys this flower if it has not been damaged in the last 3 seconds."


		// Modifiers
		"DOTA_Tooltip_Modifier_sleep_cloud_aura"			"Sleep Aura"
		"DOTA_Tooltip_Modifier_sleep_cloud_aura_Description"		"Affected units will fall asleep if they stay within the cloud for 4 seconds."
		"DOTA_Tooltip_Modifier_sleep_cloud_effect"			"Sleep Effect"	
		"DOTA_Tooltip_Modifier_sleep_cloud_effect_Description"		"Unit is asleep and will wake up if they take a certain amount of damage."

		"DOTA_Tooltip_Modifier_synthesis_day"				"Synthesis Day"	
		"DOTA_Tooltip_Modifier_synthesis_day_Description"		"Converting Health into Mana"
		"DOTA_Tooltip_Modifier_synthesis_night"				"Synthesis Night"	
		"DOTA_Tooltip_Modifier_synthesis_night_Description"		"Converting Mana into Health"

		"DOTA_Tooltip_Modifier_explosive_spore"				"Explosive"	
		"DOTA_Tooltip_Modifier_explosive_spore_Description"		"This unit will explode upon dying, dealing magical damage to units within 350 units."

		"DOTA_Tooltip_Modifier_garden_channel"				"Fertilizing Plot"	
		"DOTA_Tooltip_Modifier_garden_channel_Description"		"Creating a garden plot after 2 seconds of channeling."
		"DOTA_Tooltip_Modifier_yellow_flower_aura"				"Attackspeed Bonus"
		"DOTA_Tooltip_Modifier_purple_flower_aura"				"Magic Resistance"
		
		"DOTA_Tooltip_Modifier_aghs_thorns"				"Thorns"
		"DOTA_Tooltip_Modifier_aghs_thorns_Description"			"Increased armor. Damages enemies on being attacked."


		"explosive_spore"				"Explosive Spore"
		"garden_plot"					"Garden Plot"
		"white_flower"					"White Flower"
		"red_flower"					"Red Flower"
		"pink_flower"					"Pink Blossom"
		"blue_flower"					"Blue Blossom"
		"yellow_flower"					"Yellow Daisy"
		"purple_flower"					"Purple Lotus"
	}
}
